Cygwin Package Information
Package                                 Version                          Status
libdatrie1                              0.2.8-1                          OK
libdb4.5                                4.5.20.2-3                       OK
libdb4.5-devel                          4.5.20.2-3                       OK
libdb4.8                                4.8.30-1                         OK
libdb4.8-devel                          4.8.30-1                         OK
libdbus-glib_1-devel                    0.102-1                          OK
libdbus-glib_1_2                        0.102-1                          OK
libdbus1-devel                          1.8.16-1                         OK
libdbus1_3                              1.8.16-1                         OK
libdbusmenu-qt2                         0.9.2-1                          OK
libdca0                                 0.0.5-10                         OK
libdconf1                               0.22.0-1                         OK
libdialog11                             1.2-20140112-1                   OK
libdialog12                             1.2-20150225-2                   OK
libdirac0                               1.0.2-11                         OK
libdjvulibre21                          3.5.25.3-2                       OK
libdmtx0                                0.7.4-1                          OK
libdmx1                                 1.1.3-1                          OK
libdotconf0                             1.3-1                            OK
libdv4                                  1.0.0-11                         OK
libdvbpsi-common                        0.2.2-1                          OK
libdvbpsi7                              0.2.2-1                          OK
libdvdcss2                              1.2.13-1                         OK
libdvdnav4                              4.2.0-1                          OK
libdvdread4                             4.2.0-1                          OK
libebml4                                1.3.0-1                          OK
libecpg-compat2                         8.2.11-1                         OK
libecpg-compat3                         9.4.1-1                          OK
libecpg-devel                           9.4.1-1                          OK
libecpg5                                8.2.11-1                         OK
libecpg6                                9.4.1-1                          OK
libedit0                                20130712-1                       OK
libEGL-devel                            10.3.7-1                         OK
libEGL1                                 10.3.7-1                         OK
libEMF-devel                            1.0.7-2                          OK
libEMF1                                 1.0.7-2                          OK
libenchant-devel                        1.6.0-1                          OK
libenchant1                             1.6.0-1                          OK
libepub0                                0.2.2-1                          OK
libesd0                                 0.2.41-12                        OK
libespeak1                              1.47.11-1                        OK
libevent-devel                          2.0.21-1                         OK
libevent2.0_5                           2.0.21-1                         OK
libevtlog-devel                         0.2.12-2                         OK
libevtlog0                              0.2.12-2                         OK
libexempi3                              2.2.1-1                          OK
libexif12                               0.6.21-1                         OK
libexiv2_12                             0.23-1                           OK
libexiv2_13                             0.24-1                           OK
libexpat-devel                          2.1.0-3                          OK
libexpat0                               1.95.8-2                         OK
libexpat1                               2.1.0-3                          OK
libext2fs2                              1.42.12-2                        OK
libfaad2                                2.7-10                           OK
libfakesu                               1.1.0-0                          OK
libfam0                                 0.1.10-15                        OK
libfcgi0                                2.4.0-3                          OK
libfdt-devel                            1.4.0-1                          OK
libfdt1                                 1.4.0-1                          OK
libffi-devel                            3.2.1-1                          OK
libffi4                                 4.5.3-3                          OK
libffi6                                 3.2.1-1                          OK
libffmpegthumbnailer-devel              2.0.8-4                          OK
libffmpegthumbnailer4                   2.0.8-4                          OK
libffms2_2                              2.17-3                           OK
libfftw3-devel                          3.3.4-1                          OK
libfftw3_3                              3.3.4-1                          OK
libFLAC++6                              1.3.1-1                          OK
libFLAC8                                1.3.1-1                          OK
libfltk-devel                           1.3.3-1                          OK
libfltk1.3                              1.3.3-1                          OK
libfluidsynth1                          1.1.6-1                          OK
libfontconfig-devel                     2.11.1-2                         OK
libfontconfig1                          2.11.1-2                         OK
libfontenc1                             1.1.2-1                          OK
libfpx                                  1.3.1.4-1                        OK
libfpx-devel                            1.3.1.4-1                        OK
libfpx1                                 1.3.1.4-1                        OK
libfreetype-devel                       2.5.5-1                          OK
